time,write throughput (MB/s),,time (start=0),write throughput (MB/s) 
1437414917.771933,0,,0.239901,0 
1437414927.776812,0,,10.244780,0 
1437414937.781072,0,,20.249040,0 
1437414947.785843,0,,30.253811,0 
1437414957.790747,0,,40.258715,0 
1437414967.795830,0,,50.263798,0 
1437414977.800564,0,,60.268532,0 
 
